categoria;urlCategoria;article;descripcio;tipus;urlArticle;creador;dataPublicacio;paraulesClaus
Què Fer;https://www.timeout.cat/barcelona/ca/que-fer;Els 10 millors plans per fer a Barcelona aquesta setmana;Us proposem activitats d'oci i cultura a Barcelona per a tots els gustos i butxaques;Article;https://www.timeout.cat/barcelona/ca/que-fer/els-10-millors-plans-per-la-setmana;;2021-10-28T22:00:00Z;['Què fer', 'Categorias: Què fer']
Què Fer;https://www.timeout.cat/barcelona/ca/que-fer;Els millors 50 llocs de Barcelona per anar amb la família;Parcs, cafeteries, museus, teatres, llibreries i molts més llocs de Barcelona per passar grans moments en família!;Article;https://www.timeout.cat/barcelona/ca/amb-nens/50-llocs-per-portar-els-nens-a-barcelona;['Erica Aspas', 'Eugènia Güell'];2021-09-30T22:00:00Z;['Nens', 'Categorias: Nens']
Què Fer;https://www.timeout.cat/barcelona/ca/que-fer;Les millors coses que pots fer gratis a Barcelona;Activitats gratuïtes per fer a Barcelona: concerts, exposicions, tallers i altres propostes que pots fer sense pagar;Article;https://www.timeout.cat/barcelona/ca/que-fer/gratis-propostes-sortir-sense-gastar;;2021-10-28T22:00:00Z;['Què fer', 'Preu: Gratis', 'catalan: Barcelona', 'Categorias: Què fer']
Què Fer;https://www.timeout.cat/barcelona/ca/que-fer;10 exposicions a Barcelona que et sorprendran;Peces d'art diferents, temàtiques divertides i disciplines sorprenents que fan d'aquestes exposicions les més curioses;Article;https://www.timeout.cat/barcelona/ca/art/les-exposicions-mes-curioses-que-pots-veure-a-barcelona;Erica Aspas;2021-10-27T22:00:00Z;"['Art', ""Art: Centres d'art"", ""Tipus d'activitat: Exposició"", 'global kickers: Love Local']"
Què Fer;https://www.timeout.cat/barcelona/ca/que-fer;Els millors plans per fer a l'octubre a Barcelona;Concerts, teatre i dansa, festes... Seleccionem els millors plans per fer a Barcelona al mes d'octubre;Article;https://www.timeout.cat/barcelona/ca/que-fer/plans-per-a-loctubre;;2021-10-06T22:00:00Z;['Què fer', 'Categorias: Què fer']
Què Fer;https://www.timeout.cat/barcelona/ca/que-fer;Els 12 millors llocs per gaudir d'una vista panoràmica de Barcelona;Des de bars i museus fins a parcs, aquí teniu 12 miradors que presumeixen de panoràmiques impressionants de Barcelona;Article;https://www.timeout.cat/barcelona/ca/que-fer/les-millors-vistes-de-barcelona;Alexa Tucker;2021-05-20T22:00:00Z;['Què fer', 'Categorias: Què fer']
Què Fer;https://www.timeout.cat/barcelona/ca/que-fer;10 parcs i jardins amb encant de Barcelona;Llocs bonics per desconnectar i gaudir de la natura sense sortir de Barcelona, jardins on passejar, llegir un llibre o descobrir plantes d'arreu del món;Article;https://www.timeout.cat/barcelona/ca/que-fer/11-jardins-i-espais-verds-amb-encant-de-barcelona;Marc Angrill;2021-01-19T23:00:00Z;['Què fer', 'Les Corts: Pedralbes', 'Categorias: Què fer']
Què Fer;https://www.timeout.cat/barcelona/ca/que-fer;Els 12 millors llocs per gaudir d'una vista panoràmica de Barcelona;Des de bars i museus fins a parcs, aquí teniu 12 miradors que presumeixen de panoràmiques impressionants de Barcelona;Article;https://www.timeout.cat/barcelona/ca/que-fer/les-millors-vistes-de-barcelona;Alexa Tucker;2021-05-20T22:00:00Z;['Què fer', 'Categorias: Què fer']
Què Fer;https://www.timeout.cat/barcelona/ca/que-fer;Els 12 millors llocs per gaudir d'una vista panoràmica de Barcelona;Des de bars i museus fins a parcs, aquí teniu 12 miradors que presumeixen de panoràmiques impressionants de Barcelona;Article;https://www.timeout.cat/barcelona/ca/que-fer/les-millors-vistes-de-barcelona;Alexa Tucker;2021-05-20T22:00:00Z;['Què fer', 'Categorias: Què fer']
Què Fer;https://www.timeout.cat/barcelona/ca/que-fer;10 parcs i jardins amb encant de Barcelona;Llocs bonics per desconnectar i gaudir de la natura sense sortir de Barcelona, jardins on passejar, llegir un llibre o descobrir plantes d'arreu del món;Article;https://www.timeout.cat/barcelona/ca/que-fer/11-jardins-i-espais-verds-amb-encant-de-barcelona;Marc Angrill;2021-01-19T23:00:00Z;['Què fer', 'Les Corts: Pedralbes', 'Categorias: Què fer']
